,filename,leader,region,#ID,code2,lon,lat,ini_year,end_year,diff_years,int_group
1,BO_TS_TG_Assens.nc,BO,Baltic,Assens,3055388,9.88,55.27,2014.0,2023.0,9.92,group15min
2,BO_TS_TG_Bagenkop.nc,BO,Baltic,Bagenkop,3006188,10.68,54.75,2006.0,2023.0,17.01,group15min
3,BO_TS_TG_Ballen.nc,BO,Baltic,Ballen,3044888,10.64,55.82,1991.0,2023.0,32.87,group15min
4,BO_TS_TG_Bandholm.nc,BO,Baltic,Bandholm,3033988,11.48,54.83,2014.0,2023.0,9.92,group15min
5,BO_TS_TG_Barseback.nc,BO,Baltic,Barseback,3047388,12.9,55.76,1982.0,2023.0,41.59,group60min
6,BO_TS_TG_Bogense.nc,BO,Baltic,Bogense,3049088,10.08,55.57,2014.0,2023.0,9.92,group15min
7,BO_TS_TG_Dragor.nc,BO,Baltic,Dragor,3037488,12.68,55.6,2011.0,2023.0,12.4,group15min
8,BO_TS_TG_Drogden.nc,BO,Baltic,Drogden,3044288,12.71,55.54,1992.0,2023.0,31.7,group15min
12,BO_TS_TG_Fynshav.nc,BO,Baltic,Fynshav,3042688,9.98,55.0,2005.0,2023.0,18.92,group15min
13,BO_TS_TG_Gedser.nc,BO,Baltic,Gedser,3012788,11.93,54.57,1992.0,2023.0,31.68,group15min
16,BO_TS_TG_Helsingborg.nc,BO,Baltic,Helsingborg,3055988,12.68,56.04,2019.0,2023.0,4.42,group60min
17,BO_TS_TG_Hesnaes.nc,BO,Baltic,Hesnaes,3045888,12.13,54.82,1991.0,2023.0,32.05,group15min
19,BO_TS_TG_Hornbaek.nc,BO,Baltic,Hornbaek,3054688,12.47,56.1,1991.0,2023.0,32.14,group15min
20,BO_TS_TG_Hov.nc,BO,Baltic,Hov,3010588,10.27,55.92,2011.0,2023.0,11.92,group15min
21,BO_TS_TG_Juelsminde.nc,BO,Baltic,Juelsminde,3019288,10.02,55.72,1996.0,2023.0,26.98,group15min
23,BO_TS_TG_Karrebaeksminde.nc,BO,Baltic,Karrebaeksminde,3062188,11.65,55.18,2014.0,2023.0,9.92,group15min
24,BO_TS_TG_Klagshamn.nc,BO,Baltic,Klagshamn,3062588,12.89,55.52,1929.0,2023.0,94.05,group60min
25,BO_TS_TG_Kobenhavn.nc,BO,Baltic,Kobenhavn,3004788,12.6,55.7,2005.0,2023.0,18.92,group15min
26,BO_TS_TG_Koege.nc,BO,Baltic,Koege,3037088,12.2,55.45,2011.0,2023.0,11.94,group15min
27,BO_TS_TG_Korsor.nc,BO,Baltic,Korsor,3005288,11.13,55.33,2005.0,2023.0,18.92,group15min
29,BO_TS_TG_MalmoHamn.nc,BO,Baltic,MalmoHamn,3016288,12.98,55.63,2019.0,2023.0,4.42,group60min
31,BO_TS_TG_Rodby.nc,BO,Baltic,Rodby,3016588,11.35,54.65,2005.0,2023.0,18.92,group15min
32,BO_TS_TG_Rodvig.nc,BO,Baltic,Rodvig,3030288,12.37,55.25,1991.0,2023.0,32.29,group15min
34,BO_TS_TG_SjaellandsOdde.nc,BO,Baltic,SjaellandsOdde,3025788,11.37,55.98,1991.0,2023.0,31.97,group15min
35,BO_TS_TG_Skanor.nc,BO,Baltic,Skanor,3037188,12.83,55.42,1992.0,2023.0,31.79,group60min
36,BO_TS_TG_Slipshavn.nc,BO,Baltic,Slipshavn,3050488,10.83,55.28,2005.0,2023.0,18.92,group15min
37,BO_TS_TG_Sonderborg.nc,BO,Baltic,Sonderborg,3020788,9.78,54.92,2014.0,2023.0,9.92,group15min
39,BO_TS_TG_Vedbaek.nc,BO,Baltic,Vedbaek,3004488,12.57,55.85,2011.0,2023.0,11.94,group15min
40,BO_TS_TG_Viken.nc,BO,Baltic,Viken,3018888,12.58,56.14,1976.0,2023.0,47.61,group60min
41,NO_TS_TG_AlthagenTG.nc,NO,Baltic,AlthagenTG,4065988,12.42,54.38,2020.0,2023.0,2.97,group15min
44,NO_TS_TG_HeiligenhafenTG.nc,NO,Baltic,HeiligenhafenTG,4066588,11.01,54.37,2014.0,2023.0,9.86,group01min
45,NO_TS_TG_KalkgrundTG.nc,NO,Baltic,KalkgrundTG,4066688,9.89,54.82,2020.0,2023.0,2.97,group15min
48,NO_TS_TG_KielTG.nc,NO,Baltic,KielTG,4066988,10.28,54.5,2014.0,2023.0,9.86,group01min
49,NO_TS_TG_LangballigauTG.nc,NO,Baltic,LangballigauTG,4067188,9.65,54.82,2014.0,2023.0,9.86,group01min
51,NO_TS_TG_MarienleuchteTG.nc,NO,Baltic,MarienleuchteTG,4067388,11.24,54.5,2019.0,2023.0,4.7,group15min
52,NO_TS_TG_NeustadtTG.nc,NO,Baltic,NeustadtTG,4067488,10.81,54.09,2014.0,2023.0,9.86,group01min
54,NO_TS_TG_SchleimuendeTG.nc,NO,Baltic,SchleimuendeTG,4067788,10.03,54.67,2014.0,2023.0,9.87,group01min
56,NO_TS_TG_TimmendorfPoelTG.nc,NO,Baltic,TimmendorfPoelTG,4068088,11.38,53.99,2014.0,2023.0,9.86,group01min
57,NO_TS_TG_TravemuendeTG.nc,NO,Baltic,TravemuendeTG,4068188,10.87,53.96,2014.0,2023.0,9.86,group01min
58,NO_TS_TG_WarnemuendeTG.nc,NO,Baltic,WarnemuendeTG,4068388,12.09,54.18,2014.0,2023.0,9.86,group01min
59,NO_TS_TG_WismarTG.nc,NO,Baltic,WismarTG,4068588,11.46,53.9,2014.0,2023.0,9.86,group01min
60,BO_TS_TG_Aarhus.nc,BO,NWS,Aarhus,3012988,10.22,56.15,2005.0,2023.0,18.92,group15min
62,BO_TS_TG_Falkenberg.nc,BO,NWS,Falkenberg,3010988,12.49,56.89,2019.0,2023.0,4.42,group60min
63,BO_TS_TG_Frederikshavn.nc,BO,NWS,Frederikshavn,3029988,10.57,57.43,2005.0,2023.0,18.92,group15min
